               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.023794,            0.023085,           0.0043619,             0.85054,             0.95928,             0.93824,             0.72234,            0.028147,            0.006545,           0.0035165,            0.005908,            0.005908,            0.005908
                  64,             0.02372,            0.022904,           0.0048143,             0.87237,             0.93587,             0.94039,             0.70538,            0.030378,           0.0069611,           0.0033143,            0.005842,            0.005842,            0.005842
                  65,            0.023047,            0.021675,           0.0039999,             0.92081,             0.83849,             0.92603,             0.70121,            0.032236,           0.0070439,           0.0034877,            0.005776,            0.005776,            0.005776
                  66,            0.023186,             0.02212,            0.004467,             0.91965,             0.89806,             0.93198,             0.69989,            0.031643,            0.007129,           0.0046104,             0.00571,             0.00571,             0.00571
                  67,            0.023791,            0.023133,           0.0044433,             0.90804,             0.87998,             0.92232,             0.69017,            0.033899,           0.0069666,           0.0028054,            0.005644,            0.005644,            0.005644
                  68,             0.02293,            0.022306,           0.0041326,              0.9138,             0.86023,             0.90685,             0.68727,            0.032001,           0.0065166,           0.0025776,            0.005578,            0.005578,            0.005578
                  69,            0.022712,            0.021778,           0.0041073,             0.87861,             0.83458,             0.90584,             0.67289,            0.031242,           0.0065785,           0.0034099,            0.005512,            0.005512,            0.005512
                  70,            0.023775,             0.02237,           0.0043161,             0.84111,             0.88482,             0.90174,             0.70557,            0.029982,           0.0072296,           0.0048255,            0.005446,            0.005446,            0.005446
                  71,            0.023462,            0.021939,           0.0041297,             0.93333,             0.84519,             0.92361,             0.75598,            0.028411,           0.0067937,           0.0073466,             0.00538,             0.00538,             0.00538
                  72,            0.022525,            0.021873,           0.0043816,             0.91693,             0.88587,             0.92097,             0.73415,            0.029784,           0.0068873,           0.0049288,            0.005314,            0.005314,            0.005314
                  73,            0.022374,            0.022001,            0.003912,             0.91833,              0.8348,             0.92464,               0.723,            0.029511,           0.0069531,             0.00257,            0.005248,            0.005248,            0.005248
                  74,            0.022543,            0.021108,           0.0042128,              0.8629,              0.8833,             0.91817,             0.71754,            0.031102,           0.0071847,           0.0024971,            0.005182,            0.005182,            0.005182
                  75,            0.022732,            0.022002,           0.0041094,             0.84127,             0.91088,             0.91364,              0.7023,            0.030451,           0.0070056,           0.0024219,            0.005116,            0.005116,            0.005116
                  76,            0.022434,            0.021654,           0.0042522,              0.8701,              0.9085,             0.89893,              0.6798,            0.033905,            0.007249,           0.0040017,             0.00505,             0.00505,             0.00505
                  77,            0.022221,            0.021263,           0.0040528,             0.90491,             0.91151,             0.92154,             0.71073,             0.02981,           0.0072608,           0.0071971,            0.004984,            0.004984,            0.004984
                  78,            0.022069,            0.021958,           0.0041776,             0.88012,             0.90045,             0.91718,             0.71583,            0.030952,           0.0069668,            0.004488,            0.004918,            0.004918,            0.004918
                  79,            0.021668,            0.021437,           0.0041476,             0.92507,             0.82176,             0.91238,             0.69864,            0.030936,           0.0072106,           0.0069974,            0.004852,            0.004852,            0.004852
